Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Chrysococcyx maculatus,12.41,5.29,5.06,107.5,19.59,24,T,L,I,F
Chrysocolaptes lucidus,41.2,11.7,12.7,179,30.5,142,T,B,I,F
Cinclidium frontale,9.32,3.15,3.82,93.5,27.9,25,G,G,I,F
Cissa chinensis,25.6,11.34,13.87,148.75,46.29,127,M,L,I,F
Clamator coromandus,22.3,9.08,9.37,161.55,25.67,77,T,L,I,F
Cochoa purpurea,10,6,5.7,140,27.8,103,T,L,O,F
Cochoa viridis,11.4,6.8,5.9,142,30.2,107,T,L,O,F
Columba pulchricollis,12.98,5.6,5.68,203.08,25.37,330,T,F,F,F
Copsychus malabaricus,11.82,4.2,4.95,92.5,26.14,29,G,G,I,F
Coracina melaschistos,12.76,6.23,6.07,118.5,21.81,43,T,L,I,F
Cuculus micropterus,20.03,7.85,9.13,197.05,19.44,119,T,L,I,F
Cuculus poliocephalus,14.12,6.1,6.03,147.55,15.89,48,T,L,I,F
Cuculus saturatus,17.3,7.27,8.24,185.85,17.29,91,T,L,I,F
Culicicapa ceylonensis,6.2,3.53,2.49,62.5,13.8,8,M,A,I,F
Cutia nipalensis,12.15,4.7,6,94.75,34.95,48,M,B,I,F
Cyornis banyumas,14.92,4.62,3.67,71.75,15.7,14.5,B,A,I,F
Cyornis poliogenys,8.9,4.71,3.76,73.86,19.46,16,B,A,I,F
Cyornis unicolor,9.58,4.99,3.97,81.17,17.56,21,M,A,I,F
Dendrocitta formosae,22.75,11.79,14.31,138.8,30.12,94,T,F,O,F
Dendrocitta frontalis,21.24,11.48,14.65,133.75,29.84,97,T,F,O,F
Dendrocopos cathpharius,14.2,4.95,5.35,100.75,17.2,31,T,B,I,F
Dendrocopos darjellensis,28.13,9.06,7.4,133,23.75,71,T,B,I,F
Dendrocopos hyperythrus,25.2,5.66,6.04,115.8,19.28,46.49,T,B,I,F
Dendrocopos macei,20.4,6.3,6.4,108.75,18.58,41,M,B,I,F
Dicaeum cruentatum,7.4,2.88,2.9,49.75,12.23,6,T,F,F,F
Dicaeum ignipectus,6.7,3.42,2.87,48.5,12.35,6,T,F,F,F
Dicaeum melanoxanthum,6,3.8,3.65,73.5,16,13,T,F,F,F
Dicrurus aeneus,14.01,8.14,6.13,126.1,15.38,23,T,A,I,F
Dicrurus annectans,17.8,9.89,9.28,145,20.94,44,T,A,I,F
Dicrurus hottentottus,25.64,10.58,11.16,152.55,25.28,79,T,FL,N,F
Dicrurus leucophaeus,18.21,9.09,9.1,142.5,18.62,38,T,A,I,F
Dicrurus paradiseus,25.32,11.1,12.84,170,29.48,71,T,A,I,F
Dicrurus remifer,16.4,8.42,8.81,143,20.51,43,T,A,I,F
Dryonastes caerulatus,16.33,5.98,6.95,109.5,41.35,86,B,F,F,F
Dryonastes gularis,21.08,6.81,8.07,103.25,39.64,92,G,G,I,F
Ducula aenea,17.56,7.78,6.62,232,31.34,545,T,F,F,F
Ducula badia,16.97,9.02,8.43,240.25,28.94,486,T,F,F,F
Enicurus immaculatus,12.59,4.18,3.88,90,25.6,26,R,G,I,F
Enicurus maculatus,15.1,4.48,4.55,106.5,29.47,41,R,G,I,F
Enicurus schistaceus,13.14,4.55,4.06,100,29.11,31,R,G,I,F
Erpornis zantholeuca,9.93,3.02,3.97,67,16.1,12,T,L,I,F
Eumyias thalassinus,6.74,4.52,3.22,83.42,15.85,18,T,A,I,F
Ficedula monileger,7.33,3.7,2.9,60.5,21.45,11,B,A,I,F
Ficedula sapphira,6.28,3.35,2.55,62,16.4,8,T,A,I,F
Ficedula strophiata,6.41,3.28,3.01,74.08,20,13,M,A,I,F
Ficedula tricolor,6.07,3.08,2.56,60.42,19.25,8,B,A,I,F
Ficedula westermanni,6.3,3.31,2.78,58.08,15.48,8,T,A,I,F
Fulvetta ludlowi,5.75,2.43,3.33,56.5,23.5,12,B,L,I,F
Gallus gallus,30.91,8.86,8.94,218.22,68.07,751.7,G,G,O,F
Gampsorhynchus rufulus,11.34,5.15,6.34,98,28.01,37,B,L,I,F
Garrulax albogularis,15.76,6.27,7.29,132.25,44.45,99,G,G,I,F
Garrulax leucolophus,16.8,5.76,7.82,136.5,47.64,124,G,G,O,F
Garrulax monileger,18.42,6.44,7.54,129.5,41.79,84,G,G,I,F
Garrulax pectoralis,23.3,7.58,9.31,142.5,49.35,146,G,G,I,F
Gecinulus grantia,19.3,8.6,8.4,130,25.3,77,M,B,I,F
