Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.Air,PyS.Ground,PyS.TreeCanopy,PyS.Bush,PyS.MidCanopy,PyS.Stream,PyS.Riverbed,PyS.Cliff,F.Air,F.Ground,F.Fruitingbody,F.Leaf,F.Bark,F.River?,F.Water,F.Moss,F.I,F.Flower,D.Vertebrates,D.Arthropod,D.Seed/Shoot?,D.Fruit,D.Omnivore,D.Nectar,H.forest,H.open,H.water
Schoeniparus_castaneceps,6.6,2.28,2.75,57.45,22.2,12.5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Tickellia_hodgsoni,6.65,2.99,2.18,48,23.07,4.5,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Dicaeum_ignipectus,6.7,3.42,2.87,48.5,12.35,5.9,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Yuhina_flavicollis,6.7,2.93,3.22,63.2,21.72,15.4,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Eumyias_thalassinus,6.74,4.52,3.22,83.42,15.85,17.7,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Yuhina_nigrimenta,6.74,2.63,2.52,56,16.4,9.5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_intermedius,6.78,2.77,2.39,60,19.93,5.9,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0
Minla_ignotincta,6.79,2.86,3.07,63.73,19.8,14.3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_poliogenys,6.83,3.13,2.57,51.2,17.32,6.3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Chleuasicus_atrosuperciliaris,6.85,6.28,8.55,71.5,25.85,16.8,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Schoeniparus_cinereus,6.93,2.68,2.8,54.5,20.3,11,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Chrysominla_strigula,7,3.45,3.96,66.2,26.1,19.2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Alcippe_nipalensis,7.26,3.08,3.81,59.08,23,15.8,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_xanthoschistos,7.26,2.8,2.61,56.9,19.16,7.025,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phoenicurus_frontalis,7.27,3.01,2.94,86.2,24.4,16,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0
Tesia_olivea,7.32,3.15,2.72,45.05,21.63,7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Anthipes_monileger,7.33,3.7,2.9,60.5,21.45,11,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pericrocotus_brevirostris,7.35,4.05,3.93,86.75,15.28,16.5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_whistleri,7.35,3.15,2.76,58.25,19.08,7.3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Dicaeum_cruentatum,7.4,2.88,2.9,49.75,12.23,6.2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Phylloscopus_reguloides,7.4,3.21,2.62,58.45,17.79,7.8,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Rhipidura_albicollis,7.48,4.11,2.9,78,20.44,12.9,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Cyanoderma_chrysaeum,7.6,2.8,3.35,53,20.6,9,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Brachypteryx_leucophrys,7.65,2.96,3.1,57.75,27.85,15.8,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Elachura_formosa,7.83,2.53,3.2,48,20.03,11,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Siva_cyanouroptera,7.84,3.25,3.8,63.2,22.85,17,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Tesia_cyaniventer,7.92,3.81,2.76,49.6,24.67,9.7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_cantator,7.96,3,2.53,52.75,16.34,6,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pnoepyga_albiventer,8.01,3.3,3.12,59.4,24.19,20.9,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pericrocotus_solaris,8.07,4.03,4.22,84,16.36,14.5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_magnirostris,8.1,3.81,3.1,69.65,20.27,11.6,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pericrocotus_ethologus,8.16,4.12,3.97,92.25,17.2,19,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Yuhina_occipitalis,8.16,2.75,2.95,61.5,20.09,13,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pnoepyga_pusilla,8.26,3.2,2.67,48.3,19.24,12,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Brachypteryx_montana,8.28,3.15,3.25,66.86,32.44,17.7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Yuhina_gularis,8.29,3.2,3.13,73.1,23.85,21,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Machlolophus_spilonotus,8.42,4.57,5.02,77.2,19.9,18.8,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Niltava_sundara,8.42,4.35,3.86,80.67,21.6,21.1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
