,AllTipsSchumm,AllSpecies_MM,Schumm_MM_DirectMatch,Extra_in_MM,Schumm_OrigNames,ChangeNameInSchumm,Final_Extra_in_MM,DownloadJetzTree
95,Cinclus_cinclus,Garrulax_gularis,Lioparus_chrysotis,,,,,Gracula religiosa
96,Cinclus_pallasii,Garrulax_leucolophus,Macronous_gularis,,,,,Garrulax striatus
97,Cinnyris_asiaticus,Garrulax_monileger,Macropygia_unchall,,,,,Haematospiza sipahi
98,Cissa_chinensis,Garrulax_ocellatus,Malacocincla_abbotti,,,,,Halcyon coromanda
99,Cisticola_exilis,Garrulax_pectoralis,Megalaima_asiatica,,,,,Harpactes erythrocephalus
100,Cisticola_juncidis,Gecinulus_grantia,Megalaima_australis,,,,,Harpactes wardi
101,Clamator_coromandus,Glaucidium_brodiei,Megalaima_franklinii,,,,,Hemipus picatus
102,Cochoa_purpurea,Glaucidium_cuculoides,Melanochlora_sultanea,,,,,Hemixos flavala
103,Cochoa_viridis,Gracula_religiosa,Micropternus_brachyurus,,,,,Heterophasia annectens
104,Columba_hodgsonii,Grammatoptila_striata,Minla_ignotincta,,,,,Heterophasia picaoides
105,Columba_leuconota,Halcyon_coromanda,Monticola_rufiventris,,,,,Heterophasia pulchella
106,Columba_livia,Harpactes_erythrocephalus,Mulleripicus_pulverulentus,,,,,Cuculus fugax
107,Columba_pulchricollis,Harpactes_wardi,Muscicapa_ferruginea,,,,,Cuculus sparverioides
108,Conostoma_oemodium,Hemipus_picatus,Muscicapa_sibirica,,,,,Hypothymis azurea
109,Copsychus_malabaricus,Hemixos_flavala,Mycerobas_melanozanthos,,,,,Hypsipetes leucocephalus
110,Copsychus_saularis,Heterophasia_picaoides,Myiomela_leucura,,,,,Hypsipetes mcclellandii
111,Coracias_benghalensis,Heterophasia_pulchella,Myophonus_caeruleus,,,,,Garrulax ocellatus
112,Coracina_macei,Hierococcyx_nisicolor,Myzornis_pyrrhoura,,,,,Ictinaetus malayensis
113,Coracina_melanoptera,Hierococcyx_sparverioides,Napothera_epilepidota,,,,,Irena puella
114,Coracina_melaschistos,Horornis_brunnescens,Niltava_grandis,,,,,Leiothrix argentauris
115,Corvus_corax,Horornis_fortipes,Niltava_macgrigoriae,,,,,Leucosticte nemoricola
116,Corvus_culminatus,Hydrornis_nipalensis,Niltava_sundara,,,,,Liocichla bugunorum
117,Corvus_japonensis,Hypothymis_azurea,Nucifraga_caryocatactes,,,,,Liocichla phoenicea
118,Corvus_splendens,Hypsipetes_leucocephalus,Nyctyornis_athertoni,,,,,Alcippe chrysotis
119,Cuculus_canorus,Ictinaetus_malaiensis,Oriolus_traillii,,,,,Lophura leucomelanos
120,Cuculus_micropterus,Irena_puella,Oriolus_xanthornus,,,,,Macronous gularis
121,Cuculus_poliocephalus,Ixos_mcclellandii,Orthotomus_sutorius,,,,,Macropygia unchall
122,Cuculus_saturatus,Lalage_melaschistos,Paradoxornis_gularis,,,,,Malacocincla abbotti
123,Culicicapa_ceylonensis,Leioptila_annectens,Pellorneum_ruficeps,,,,,Megalaima asiatica
124,Cutia_nipalensis,Leiothrix_argentauris,Pericrocotus_brevirostris,,,,,Megalaima australis
125,Cyornis_magnirostris,Leucosticte_nemoricola,Pericrocotus_ethologus,,,,,Megalaima franklinii
126,Cyornis_poliogenys,Liocichla_bugunorum,Pericrocotus_solaris,,,,,Megalaima lineata
127,Cyornis_rubeculoides,Liocichla_phoenicea,Phaenicophaeus_tristis,,,,,Megalaima virens
128,Cyornis_tickelliae,Lioparus_chrysotis,Phoenicurus_frontalis,,,,,Melanochlora sultanea
129,Cyornis_unicolor,Lophura_leucomelanos,Phyllergates_cucullatus,,,,,Microhierax melanoleucos
130,Cypsiurus_balasiensis,Machlolophus_spilonotus,Phylloscopus_cantator,,,,,Celeus brachyurus
131,Delichon_dasypus,Macronous_gularis,Phylloscopus_chloronotus,,,,,Minla cyanouroptera
132,Delichon_nipalense,Macropygia_unchall,Phylloscopus_maculipennis,,,,,Minla ignotincta
133,Dendrocitta_formosae,Malacocincla_abbotti,Phylloscopus_magnirostris,,,,,Minla strigula
134,Dendrocitta_frontalis,Megalaima_asiatica,Phylloscopus_pulcher,,,,,Monticola rufiventris
135,Dendrocitta_vagabunda,Megalaima_australis,Phylloscopus_reguloides,,,,,Mulleripicus pulverulentus
136,Dendrocopos_canicapillus,Megalaima_franklinii,Phylloscopus_xanthoschistos,,,,,Muscicapa ferruginea
137,Dendrocopos_cathpharius,Melanochlora_sultanea,Picumnus_innominatus,,,,,Muscicapa sibirica
138,Dendrocopos_darjellensis,Microhierax_melanoleucos,Picus_canus,,,,,Muscicapella hodgsoni
139,Dendrocopos_macei,Micropternus_brachyurus,Picus_chlorolophus,,,,,Mycerobas melanozanthos
140,Dicaeum_chrysorrheum,Minla_ignotincta,Pitta_sordida,,,,,Cinclidium leucurum
141,Dicaeum_cruentatum,Monticola_rufiventris,Pnoepyga_albiventer,,,,,Myophonus caeruleus
142,Dicaeum_erythrorhynchos,Mulleripicus_pulverulentus,Pnoepyga_pusilla,,,,,Myzornis pyrrhoura
143,Dicaeum_ignipectus,Muscicapa_ferruginea,Pomatorhinus_ferruginosus,,,,,Napothera epilepidota
144,Dicaeum_melanoxanthum,Muscicapa_sibirica,Pomatorhinus_ruficollis,,,,,Niltava grandis
145,Dicaeum_minullum,Mycerobas_melanozanthos,Pomatorhinus_schisticeps,,,,,Niltava macgrigoriae
146,Dicrurus_aeneus,Myiomela_leucura,Psarisomus_dalhousiae,,,,,Niltava sundara
147,Dicrurus_annectans,Myophonus_caeruleus,Psittacula_alexandri,,,,,Nisaetus nipalensis
148,Dicrurus_caerulescens,Myzornis_pyrrhoura,Pteruthius_flaviscapis,,,,,Nucifraga caryocatactes
149,Dicrurus_hottentottus,Napothera_epilepidota,Pteruthius_melanotis,,,,,Nyctyornis athertoni
150,Dicrurus_leucophaeus,Niltava_grandis,Pteruthius_rufiventer,,,,,Oriolus traillii
151,Dicrurus_macrocercus,Niltava_macgrigoriae,Pteruthius_xanthochlorus,,,,,Oriolus xanthornus
152,Dicrurus_paradiseus,Niltava_sundara,Pycnonotus_flaviventris,,,,,Orthotomus sutorius
153,Dicrurus_remifer,Nisaetus_nipalensis,Pycnonotus_striatus,,,,,Paradoxornis atrosuperciliaris
154,Dinopium_shorii,Nucifraga_caryocatactes,Pyrrhoplectes_epauletta,,,,,Paradoxornis gularis
155,Dryonastes_caerulatus,Nyctyornis_athertoni,Pyrrhula_erythaca,,,,,Paradoxornis nipalensis
156,Dryonastes_gularis,Oriolus_traillii,Pyrrhula_nipalensis,,,,,Paradoxornis ruficeps
157,Dryonastes_ruficollis,Oriolus_xanthornus,Rhipidura_albicollis,,,,,Paradoxornis unicolor
158,Ducula_aenea,Orthotomus_sutorius,Rimator_malacoptilus,,,,,Parus spilonotus
159,Ducula_badia,Paradoxornis_gularis,Sasia_ochracea,,,,,Pellorneum ruficeps
160,Dumetia_hyperythra,Pellorneum_ruficeps,Schoeniparus_castaneceps,,,,,Pericrocotus brevirostris
161,Emberiza_godlewskii,Pericrocotus_brevirostris,Sitta_cinnamoventris,,,,,Pericrocotus ethologus
162,Enicurus_immaculatus,Pericrocotus_ethologus,Sitta_formosa,,,,,Pericrocotus solaris
163,Enicurus_leschenaulti,Pericrocotus_flammeus,Sitta_himalayensis,,,,,Pericrocotus flammeus
164,Enicurus_maculatus,Pericrocotus_solaris,Spelaeornis_caudatus,,,,,Pernis ptilorhyncus
165,Enicurus_schistaceus,Pernis_ptilorhynchus,Spelaeornis_troglodytoides,,,,,Phaenicophaeus tristis
166,Enicurus_scouleri,Phaenicophaeus_tristis,Sphenocichla_humei,,,,,Phoenicurus frontalis
167,Erpornis_zantholeuca,Phoenicurus_frontalis,Stachyris_nigriceps,,,,,Orthotomus cuculatus
168,Eudynamys_scolopaceus,Phyllergates_cucullatus,Surniculus_lugubris,,,,,Phylloscopus affinis
169,Eumyias_thalassinus,Phylloscopus_cantator,Sylviparus_modestus,,,,,Phylloscopus cantator
