For_all_in_Schumm,Step1_ChangeNames,Step2_DeleteTips
Cyornis_rubeculoides,NA,Cyornis_rubeculoides
Cyornis_tickelliae,NA,Cyornis_tickelliae
Cypsiurus_balasiensis,NA,Cypsiurus_balasiensis
Delichon_dasypus,NA,Delichon_dasypus
Delichon_nipalense,NA,Delichon_nipalense
Dendrocitta_vagabunda,NA,Dendrocitta_vagabunda
Dicaeum_chrysorrheum,NA,Dicaeum_chrysorrheum
Dicaeum_erythrorhynchos,NA,Dicaeum_erythrorhynchos
Dicaeum_minullum,NA,Dicaeum_minullum
Dicrurus_caerulescens,NA,Dicrurus_caerulescens
Dicrurus_macrocercus,NA,Dicrurus_macrocercus
Dryonastes_ruficollis,NA,Dryonastes_ruficollis
Dumetia_hyperythra,NA,Dumetia_hyperythra
Emberiza_godlewskii,NA,Emberiza_godlewskii
Enicurus_leschenaulti,NA,Enicurus_leschenaulti
Enicurus_scouleri,NA,Enicurus_scouleri
Eudynamys_scolopaceus,NA,Eudynamys_scolopaceus
Eurystomus_orientalis,NA,Eurystomus_orientalis
Fulvetta_vinipectus,NA,Fulvetta_vinipectus
Garrulax_leucolophus,NA,Garrulax_leucolophus
Glaucidium_radiatum,NA,Glaucidium_radiatum
Gracupica_contra,NA,Gracupica_contra
Grandala_coelicolor,NA,Grandala_coelicolor
Halcyon_smyrnensis,NA,Halcyon_smyrnensis
Hemiprocne_coronata,NA,Hemiprocne_coronata
Heterophasia_capistrata,NA,Heterophasia_capistrata
Heteroxenicus_stellatus,NA,Heteroxenicus_stellatus
Hierococcyx_varius,NA,Hierococcyx_varius
Hirundapus_caudacutus,NA,Hirundapus_caudacutus
Hirundapus_cochinchinensis,NA,Hirundapus_cochinchinensis
Hirundo_daurica,NA,Hirundo_daurica
Hirundo_rustica,NA,Hirundo_rustica
Hodgsonius_phaenicuroides,NA,Hodgsonius_phaenicuroides
Ianthocincla_rufogularis,NA,Ianthocincla_rufogularis
Indicator_xanthonotus,NA,Indicator_xanthonotus
Ketupa_flavipes,NA,Ketupa_flavipes
Ketupa_zeylonensis,NA,Ketupa_zeylonensis
Lanius_schach,NA,Lanius_schach
Lanius_tephronotus,NA,Lanius_tephronotus
Leiothrix_lutea,NA,Leiothrix_lutea
Leptopoecile_sophiae,NA,Leptopoecile_sophiae
Lonchura_atricapilla,NA,Lonchura_atricapilla
Lonchura_punctulata,NA,Lonchura_punctulata
Lonchura_striata,NA,Lonchura_striata
Loxia_curvirostra,NA,Loxia_curvirostra
Luscinia_brunnea,NA,Luscinia_brunnea
Megalaima_haemacephala,NA,Megalaima_haemacephala
Megalurus_palustris,NA,Megalurus_palustris
