WinterList,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Glaucidium cuculoides,13.83,10.02,12.49,150.5,29.58,163,M,G,I,F
Grammatoptila striata,17.3,7.79,10.8,151,46.32,111,M,L,I,F
Harpactes erythrocephalus,12.4,8.66,10.53,153.5,17.08,80,M,A,I,F
Harpactes wardi,10.85,7.95,10.75,161,16.7,119,M,A,I,F
Hemipus picatus,9.68,4.48,3.57,64.38,12.7,9,T,A,I,F
Hemixos flavala,12.75,5.21,5.39,97.25,19.05,33,T,F,F,F
Heterophasia picaoides,15,4.53,4.87,118.5,28.05,42,T,L,I,F
Heterophasia pulchella,15.83,5.1,5.2,107,31.47,41,T,L,I,F
Hierococcyx sparverioides,18.87,8.48,8.31,221.75,26.69,151,T,L,I,F
Horornis brunnescens,6.47,2.23,2.18,52.67,21.85,6,B,L,I,O
Horornis fortipes,5.9,2.17,2.43,54.33,22.5,10,B,L,I,O
Hypsipetes leucocephalus,17.04,5.83,6.12,123.8,19.42,53,T,F,F,F
Ictinaetus malaiensis,51.5,13.68,18.64,566,68.7,1028,T,B,V,F
Irena puella,18.36,8.22,8.72,136.9,19.93,65,T,F,F,F
Ixos mcclellandii,18.11,5.94,5.7,107.5,17.85,33,T,F,F,F
Lalage melaschistos,12.76,6.23,6.07,118.5,21.81,43,T,L,I,F
Leioptila annectens,8.8,3.65,4,80.5,25.7,25,T,M,I,F
Leiothrix argentauris,9.37,4.11,5.03,76,25.73,28,B,L,I,F
Liocichla phoenicea,9.8,4.2,5.68,87,35.3,49,B,L,O,F
Lioparus chrysotis,4.87,2.65,3.03,51.67,20.63,12,B,L,I,F
Lophotriorchis kienerii,20.46,12.75,17.7,394,56.2,799,G,G,V,F
Lophura leucomelanos,35.78,11.1,10.88,212.2,67.38,868,G,G,O,F
Loriculus vernalis,11.92,6.5,9.21,93.2,9.24,27.4,T,F,F,F
Machlolophus spilonotus,8.42,4.57,5.02,77.2,19.9,19,T,L,I,F
Macropygia unchall,11.08,4.26,4.97,197.55,26.31,168,T,G,F,F
Melanochlora sultanea,11.38,5.42,14.46,108.57,24.4,38,T,L,I,F
Minla ignotincta,6.79,2.86,3.07,63.73,19.8,14,M,L,I,F
Mixornis gularis,8.68,3.1,3.5,60,19.3,11,B,L,I,F
Monticola rufiventris,14.37,5.56,6.09,122.7,28.03,53,T,G,I,F
Myophonus caeruleus,18.85,7.05,9.78,172,52.13,158,R,G,I,F
Myzornis pyrrhoura,9.75,3.12,2.59,62.25,24.6,12,B,B,I,F
Napothera epilepidota,10.94,3.09,3.55,54.9,22.24,16,G,G,I,F
Niltava grandis,10.93,5.33,5.03,104.42,25.2,30,M,A,I,F
Niltava macgrigoriae,6.37,3.57,3.11,64.25,16.7,12,B,A,I,F
Nisaetus nipalensis,44.18,13.07,23.52,423.66,101.2,3005,G,G,V,F
Nucifraga caryocatactes,35.96,14.84,15.62,218.13,43.08,197,T,F,S,F
Nyctyornis athertoni,37.05,9.45,10.56,131.55,17.83,92,T,A,I,F
Oriolus traillii,22.02,7.3,7.99,148.7,24.27,74,T,F,F,F
Orthotomus sutorius,9.41,2.73,2.54,46,19.96,8,B,L,I,F
Parus monticolus,7.6,3.7,4.11,66.18,19.4,14.1,M,L,I,F
Pellorneum ruficeps,10.9,3.4,4.85,71,27.3,26,G,G,I,F
Pericrocotus brevirostris,7.35,4.05,3.93,86.75,15.28,17,T,L,I,F
Pericrocotus ethologus,8.16,4.12,3.97,92.25,17.2,19,T,L,I,F
Pericrocotus flammeus,12.07,5.92,6.32,107,19.48,28,T,L,I,F
Pericrocotus solaris,8.07,4.03,4.22,84,16.36,15,T,L,I,F
Periparus ater,6.45,2.9,3.4,61.6,15.15,9.2,G,L,I,F
Periparus rubidiventris,8.18,3.65,4.18,69.63,19.38,11.8,M,L,I,F
Pernis ptilorhynchus,55.92,13.14,15.42,413.6,49.02,1141.1,M,A,I,O
Phaenicophaeus tristis,20.01,8.75,11.58,161,37.59,139,B,B,I,F
Phoenicurus frontalis,7.27,3.01,2.94,86.2,24.4,16,G,G,I,O
Phoenicurus schisticeps,7.25,3.07,3.3,83.3,22.13,18.1,M,L,I,F
Phyllergates cucullatus,9.52,2.75,2.27,48.33,20.07,6,B,M,I,F
Phylloscopus castaniceps,5.1,2.35,2.38,28.35,16.3,5,T,L,I,F
Phylloscopus chloronotus,5.44,2.56,1.95,54.5,16.59,5,T,L,I,F
Phylloscopus fuscatus,6.7,2.43,2.63,63.3,21.76,8.7,M,L,I,R
Phylloscopus intermedius,7.25,3.1,2.9,57.5,15.75,6.9,M,L,I,F
Phylloscopus maculipennis,5.31,2.46,1.92,50.75,17.86,5,T,L,I,F
Phylloscopus poliogenys,6.83,3.13,2.57,51.2,17.32,6,B,A,I,F
Phylloscopus pulcher,6.55,2.56,2.37,59.3,18.97,7,M,L,I,F
Phylloscopus reguloides,7.4,3.21,2.62,58.45,17.79,8,T,L,I,F
Phylloscopus trochiloides,6.63,2.76,2.47,60.65,19.03,8.1,T,L,I,F
Phylloscopus whistleri,6.83,3.13,2.57,51.2,17.32,6,B,A,I,F
Phylloscopus xanthoschistos,7.26,2.8,2.61,56.9,19.16,7,T,L,I,F
Picus chlorolophus,22.55,7.6,7.6,139,23.15,67,M,B,I,F
Pnoepyga albiventer,8.01,3.3,3.12,59.4,24.19,21,G,G,I,F
Pnoepyga pusilla,8.26,3.2,2.67,48.3,19.24,12,G,G,I,F
Polyplectron bicalcaratum,23.65,7.03,7.4,225,66.63,467.84,G,G,O,F
Pomatorhinus ferruginosus,18.8,3.9,6.4,89.5,33.7,40,G,G,I,F
Pomatorhinus ruficollis,15.9,3.63,6,82.5,28.55,32,G,G,I,F
Pomatorhinus schisticeps,20.93,4,6.8,98.5,34.05,43,G,G,I,F
Pomatorhinus superciliaris,43.15,2.7,5,77,31.35,28,G,G,I,F
Prinia atrogularis,7.96,2.69,2.61,49.1,20.82,11.8,B,L,I,O
Procarduelis nipalensis,9.35,5.93,6.83,90.5,20.8,22.1,M,G,G,F
Prunella immaculata,12.59,4.18,3.88,90,25.6,26,R,G,I,F
Prunella strophiata,6.9,3.96,3.8,64.5,19.56,18.08,G,G,I,F
Psarisomus dalhousiae,15.9,12.93,9.5,101,27.7,67,T,A,I,F
Megalaima asiatica,17.27,9.48,11,103.5,26.75,91,T,F,F,F
Megalaima australis,14.3,7.6,8.14,86.25,19.51,33,T,F,F,F
Megalaima franklinii,17.95,10.2,11.18,103.85,26.87,64,T,F,F,F
Psilopogon virens,32.96,13.7,17.06,140.25,33.78,202,T,F,F,F
Psittiparus ruficeps,10.3,7.1,12.2,85,25.4,32,B,L,I,F
Pteruthius aeralatus,9.68,5.27,6.24,83,26.98,39,T,L,I,F
Pteruthius melanotis,5.34,3.25,3.97,60.33,19.57,13,M,L,I,F
Pteruthius rufiventer,9.8,4.88,6.39,88,28.53,45,M,L,I,F
Pteruthius xanthochlorus,5.05,3.36,3.69,61.5,20.6,14,M,L,I,F
Pycnonotus flaviventris,8.8,4.21,4.49,91.25,16.93,28,M,F,F,F
Pycnonotus striatus,10.06,4.89,5.34,109.75,19.72,53,T,F,F,F
Pyrrhoplectes epauletta,8.83,6.65,7.1,78,20,19,B,F,S,F
Pyrrhula erythaca,8.6,8.35,8.65,83,18.7,19,B,F,F,F
Pyrrhula erythrocephala,7.3,7.36,8.23,76.66,16.76,22.28,G,L,G,F
Pyrrhula nipalensis,9.71,10.13,9.85,88,17.07,25,T,F,F,F
Rhipidura albicollis,7.48,4.11,2.9,78,20.44,13,B,A,I,F
Rhyticeros undulatus,183,51.79,81.07,480,67.98,2233,T,F,F,F
Rimator malacoptilus,17.65,2.9,3.35,60.5,24.5,20,G,G,I,F
Schoeniparus castaneceps,6.6,2.28,2.75,57.45,22.2,13,B,L,I,F
