AllTipsSchumm,AllSpecies_MM,Schumm_MM_DirectMatch,Extra_in_MM,Schumm_OrigNames,ChangeNameInSchumm,Final_Extra_in_MM,DownloadJetzTree
Enicurus_immaculatus,Pycnonotus_flaviventris,,,,,,Pericrocotus solaris
Enicurus_leschenaulti,Pycnonotus_striatus,,,,,,Pericrocotus flammeus
Enicurus_maculatus,Pyrrhoplectes_epauletta,,,,,,Pernis ptilorhyncus
Enicurus_schistaceus,Pyrrhula_erythaca,,,,,,Phaenicophaeus tristis
Enicurus_scouleri,Pyrrhula_erythrocephala,,,,,,Phoenicurus frontalis
Erpornis_zantholeuca,Pyrrhula_nipalensis,,,,,,Orthotomus cuculatus
Eudynamys_scolopaceus,Rhipidura_albicollis,,,,,,Phylloscopus affinis
Eumyias_thalassinus,Rhyticeros_undulatus,,,,,,Phylloscopus cantator
Eurystomus_orientalis,Rimator_malacoptilus,,,,,,Phylloscopus chloronotus
Ficedula_hyperythra,Schoeniparus_castaneceps,,,,,,Phylloscopus maculipennis
Ficedula_monileger,Schoeniparus_cinereus,,,,,,Phylloscopus magnirostris
Ficedula_sapphira,Sibia_waldeni,,,,,,Phylloscopus pulcher
Ficedula_strophiata,Sitta_cinnamoventris,,,,,,Phylloscopus reguloides
Ficedula_superciliaris,Sitta_formosa,,,,,,Phylloscopus xanthoschistos
Ficedula_tricolor,Sitta_himalayensis,,,,,,Picumnus innominatus
Ficedula_westermanni,Siva_cyanouroptera,,,,,,Picus canus
Fulvetta_ludlowi,Spelaeornis_caudatus,,,,,,Picus chlorolophus
Fulvetta_vinipectus,Spelaeornis_troglodytoides,,,,,,Picus flavinucha
Gampsorhynchus_rufulus,Spilornis_cheela,,,,,,Pinicola subhimachala
Garrulax_albogularis,Spinus_thibetanus,,,,,,Pitta nipalensis
Garrulax_leucolophus,Stachyris_humei,,,,,,Pitta sordida
Garrulax_monileger,Stachyris_nigriceps,,,,,,Pnoepyga albiventer
Garrulax_pectoralis,Suthora_nipalensis,,,,,,Pnoepyga pusilla
Garrulus_glandarius,Sylviparus_modestus,,,,,,Polyplectron bicalcaratum
Gecinulus_grantia,Tarsiger_hyperythrus,,,,,,Pomatorhinus ferruginosus
Glaucidium_brodiei,Tarsiger_indicus,,,,,,Pomatorhinus ruficollis
Glaucidium_cuculoides,Tarsiger_rufilatus,,,,,,Pomatorhinus schisticeps
Glaucidium_radiatum,Tephrodornis_virgatus,,,,,,Psarisomus dalhousiae
Gracula_religiosa,Tesia_cyaniventer,,,,,,Psittacula alexandri
Gracupica_contra,Tesia_olivea,,,,,,Pteruthius flaviscapis
Grammatoptila_striata,Tragopan_blythii,,,,,,Pteruthius melanotis
Grandala_coelicolor,Treron_sphenurus,,,,,,Pteruthius rufiventer
Haematospiza_sipahi,Trochalopteron_affine,,,,,,Pteruthius xanthochlorus
Halcyon_coromanda,Trochalopteron_erythrocephalus,,,,,,Pycnonotus melanicterus
Halcyon_smyrnensis,Trochalopteron_imbricatum,,,,,,Pycnonotus striatus
Harpactes_erythrocephalus,Trochalopteron_squamatum,,,,,,Pyrrhoplectes epauletta
Harpactes_wardi,Trochalopteron_subunicolor,,,,,,Pyrrhula erythaca
Hemiprocne_coronata,Urocissa_flavirostris,,,,,,Pyrrhula nipalensis
Hemipus_picatus,Yuhina_bakeri,,,,,,Rhipidura albicollis
Hemixos_flavala,Yuhina_castaniceps,,,,,,Rimator malacoptilus
Heterophasia_annectans,Yuhina_flavicollis,,,,,,Sasia ochracea
Heterophasia_capistrata,Yuhina_gularis,,,,,,Alcippe castaneceps
Heterophasia_picaoides,Yuhina_nigrimenta,,,,,,Alcippe cinerea
Heterophasia_pulchella,Yuhina_occipitalis,,,,,,Seicercus castaniceps
Heteroxenicus_stellatus,Zoothera_dauma,,,,,,Seicercus poliogenys
Hierococcyx_nisicolor,Zoothera_dixoni,,,,,,Seicercus whistleri
Hierococcyx_sparverioides,Zoothera_mollissima,,,,,,Actinodura waldeni
Hierococcyx_varius,Zosterops_palpebrosus,,,,,,Sitta castanea
Hirundapus_caudacutus,,,,,,,Sitta formosa
Hirundapus_cochinchinensis,,,,,,,Sitta himalayensis
Hirundo_daurica,,,,,,,Spelaeornis caudatus
Hirundo_rustica,,,,,,,Spelaeornis formosus
Hodgsonius_phaenicuroides,,,,,,,Spelaeornis troglodytoides
Hypopicus_hyperythrus,,,,,,,Sphenocichla humei
Hypothymis_azurea,,,,,,,Spilornis cheela
Hypsipetes_leucocephalus,,,,,,,Stachyris ruficeps
Hypsipetes_mcclellandi,,,,,,,Stachyris chrysaea
Ianthocincla_ocellata,,,,,,,Stachyris nigriceps
Ianthocincla_rufogularis,,,,,,,Yuhina castaniceps
Indicator_xanthonotus,,,,,,,Surniculus lugubris
Irena_puella,,,,,,,Sylviparus modestus
Ketupa_flavipes,,,,,,,Tephrodornis gularis
Ketupa_zeylonensis,,,,,,,Terpsiphone paradisi
Lanius_schach,,,,,,,Tesia castaneocoronata
Lanius_tephronotus,,,,,,,Tesia cyaniventer
Leiothrix_argentauris,,,,,,,Tesia olivea
Leiothrix_lutea,,,,,,,Tickellia hodgsoni
Leptopoecile_sophiae,,,,,,,Tragopan blythii
Leucosticte_nemoricola,,,,,,,Tragopan temminckii
Liocichla_bugunorum,,,,,,,Treron apicauda
Liocichla_phoenicea,,,,,,,Treron curvirostra
Lioparus_chrysotis,,,,,,,Treron sphenurus
Lonchura_atricapilla,,,,,,,Garrulax affinis
Lonchura_punctulata,,,,,,,Garrulax erythrocephalus
Lonchura_striata,,,,,,,Garrulax lineatus
Loriculus_vernalis,,,,,,,Garrulax squamatus
Loxia_curvirostra,,,,,,,Garrulax subunicolor
Luscinia_brunnea,,,,,,,Urocissa flavirostris
Macronous_gularis,,,,,,,Xiphirhynchus superciliaris
Macropygia_unchall,,,,,,,Yuhina bakeri
Malacocincla_abbotti,,,,,,,Yuhina flavicollis
Megalaima_asiatica,,,,,,,Yuhina gularis
Megalaima_australis,,,,,,,Yuhina nigrimenta
Megalaima_franklinii,,,,,,,Yuhina occipitalis
Megalaima_haemacephala,,,,,,,Accipiter_nisus
Megalaima_lineata,,,,,,,Accipiter_trivirgatus
Megalaima_virens,,,,,,,Accipiter_virgatus
Megalurus_palustris,,,,,,,Arborophila_mandellii
Melanochlora_sultanea,,,,,,,Arborophila_rufogularis
Melanocorypha_maxima,,,,,,,Arborophila_torqueola
Melophus_lathami,,,,,,,Buteo_refectus
Merops_leschenaulti,,,,,,,Dinopium_javanese
Merops_orientalis,,,,,,,Ficedula_albicilla
Microhierax_caerulescens,,,,,,,Gallus_gallus
Micropternus_brachyurus,,,,,,,Hypothymis_azurea
Minla_cyanouroptera,,,,,,,Lophotriorchis_kienerii
Minla_ignotincta,,,,,,,Lophura_leucomelanos
Minla_strigula,,,,,,,Mixornis_gularis
Mirafra_assamica,,,,,,,Nisaetus_nipalensis
