OrigTips,NewTips,DropTips
Leiothrix_argentauris,Leiothrix_argentauris,Dryonastes_ruficollis
Leucosticte_nemoricola,Leucosticte_nemoricola,Dumetia_hyperythra
Liocichla_phoenicea,Liocichla_phoenicea,Emberiza_godlewskii
Lioparus_chrysotis,Lioparus_chrysotis,Enicurus_leschenaulti
Macronous_gularis,Macronous_gularis,Enicurus_scouleri
Macropygia_unchall,Macropygia_unchall,Eudynamys_scolopaceus
Malacocincla_abbotti,Malacocincla_abbotti,Eurystomus_orientalis
Megalaima_asiatica,Megalaima_asiatica,Ficedula_hyperythra
Megalaima_australis,Megalaima_australis,Ficedula_superciliaris
Megalaima_franklinii,Megalaima_franklinii,Fulvetta_vinipectus
Melanochlora_sultanea,Melanochlora_sultanea,Garrulus_glandarius
Micropternus_brachyurus,Micropternus_brachyurus,Glaucidium_radiatum
Minla_ignotincta,Minla_ignotincta,Gracupica_contra
Monticola_rufiventris,Monticola_rufiventris,Grandala_coelicolor
Mulleripicus_pulverulentus,Mulleripicus_pulverulentus,Halcyon_smyrnensis
Muscicapa_ferruginea,Muscicapa_ferruginea,Hemiprocne_coronata
Muscicapa_sibirica,Muscicapa_sibirica,Heterophasia_capistrata
Mycerobas_melanozanthos,Mycerobas_melanozanthos,Heteroxenicus_stellatus
Myiomela_leucura,Myiomela_leucura,Hierococcyx_varius
Myophonus_caeruleus,Myophonus_caeruleus,Hirundapus_caudacutus
Myzornis_pyrrhoura,Myzornis_pyrrhoura,Hirundapus_cochinchinensis
Napothera_epilepidota,Napothera_epilepidota,Hirundo_daurica
Niltava_grandis,Niltava_grandis,Hirundo_rustica
Niltava_macgrigoriae,Niltava_macgrigoriae,Hodgsonius_phaenicuroides
Niltava_sundara,Niltava_sundara,Hypopicus_hyperythrus
Nucifraga_caryocatactes,Nucifraga_caryocatactes,Ianthocincla_rufogularis
Nyctyornis_athertoni,Nyctyornis_athertoni,Ictinaetus_malaiensis
Oriolus_traillii,Oriolus_traillii,Indicator_xanthonotus
